submission_date,state,tot_cases,conf_cases,new_case,tot_death,conf_death,new_death
2021-12-01,ND,163565,135705,589,1907,0,9
2020-08-17,MD,100715,0,503,3765,3616,3
2021-05-31,CA,3685032,3685032,644,62011,62011,5
2021-07-20,MD,464491,0,155,9822,9604,3
2020-02-06,NE,0,0,0,0,0,0
2020-07-30,ME,3910,3497,22,123,122,2
2021-09-19,DE,128253,117969,450,1920,1756,0
2020-06-15,WI,25480,22932,185,700,694,2
2021-11-30,WA,774279,0,1380,9303,0,46
2020-07-31,ND,6602,6602,133,103,0,0
2021-11-23,WA,766876,0,1051,9177,0,38
2021-05-17,IN,735999,0,537,13460,13044,6
2021-08-19,NC,1137140,966949,6971,14366,12647,37
2022-01-27,DE,244730,223336,1528,2494,2286,1
2021-09-20,NC,1348225,1144550,3723,16504,14514,66
2020-01-27,MI,0,0,0,0,0,0
2021-02-14,CT,267337,250915,0,7381,6049,0
2020-09-16,WI,98440,92712,1502,1237,1228,8
2021-01-15,AL,418663,336495,3180,8413,6819,75
2020-08-14,CA,601075,601075,7934,10831,10831,165
2020-05-21,WA,19143,0,123,1044,0,7
2021-09-08,NV,399234,399234,1446,6637,0,33
2020-01-30,MI,0,0,0,0,0,0
2022-02-02,NE,444695,318004,3239,3731,3087,26
2020-10-24,NC,258095,247888,2407,4480,4394,22
2021-06-03,VT,22687,0,6,249,0,1
2022-02-11,IL,2987502,2987502,0,35725,31795,0
2021-10-05,ID,263294,209207,1835,2993,2532,11
2021-08-21,IN,819949,0,2800,14256,13821,35
2020-06-24,NC,56170,56155,1286,1362,1362,18
2021-04-28,NC,956547,824393,1793,13080,11555,17
2020-07-06,DE,12583,11656,119,514,457,2
2020-06-07,MD,57973,0,491,2875,2750,24
2020-03-09,WI,1,0,0,0,0,0
2021-05-01,IL,1337868,1337868,2813,24330,21992,39
2021-02-19,MS,292363,181931,535,6948,4849,9
2020-02-24,ND,0,0,0,0,0,0
2020-03-16,ME,19,0,5,0,0,0
2020-10-05,WI,141655,134359,1727,1392,1381,4
2020-04-24,ME,965,965,28,47,47,3
2020-08-10,MD,96258,0,755,3708,3560,5
2021-06-24,VT,22815,0,7,249,0,0
2021-04-16,NC,935649,808718,2332,12927,11424,9
2021-05-13,MO,592512,0,463,8993,0,2
2020-09-11,ID,34950,32228,333,412,375,5
2021-09-26,WA,647338,0,3104,7516,0,11
2020-08-29,MI,203619,184816,970,6817,6499,4
2020-10-28,MO,194250,0,3507,3389,0,32
2021-07-05,NC,1006917,861950,303,13650,12038,3
2021-09-09,WI,751195,675908,2095,8589,7717,32
2020-06-01,WA,21995,0,383,1124,0,6
2021-09-07,IN,886461,0,3246,14615,14164,0
2022-02-28,CA,8960997,8381196,19492,84700,0,708
2021-11-16,VT,41905,0,171,382,0,1
2022-01-08,ND,181576,147398,930,2029,0,1
2021-08-02,WI,689285,622867,697,8295,7443,3
2020-11-25,MS,150623,121409,1433,4246,3603,27
2020-02-24,MO,0,0,0,0,0,0
2021-05-24,VT,22585,0,20,248,0,0
2020-02-26,MD,0,0,0,0,0,0
2020-06-18,IL,135639,134778,593,6718,6537,52
2020-03-17,WA,928,0,118,47,0,5
2021-11-14,NC,1498978,1266932,1745,18704,16462,9
2020-05-27,MO,13208,0,262,858,0,8
2021-09-01,AL,705796,539610,5210,13448,10531,73
2020-08-24,NE,32257,0,340,383,0,5
2020-12-13,IN,425443,0,5898,6783,6505,47
2020-11-13,VT,2638,0,98,58,0,0
2020-03-29,NC,1104,1104,142,7,7,1
2021-11-09,WA,744151,0,1477,8857,0,30
2021-04-14,MS,309409,189821,232,7247,5001,4
2020-06-23,WI,28127,25331,289,757,750,6
2021-07-26,IL,1411821,1411821,1298,25881,23409,6
2021-10-08,ND,137678,119955,552,1642,0,7
2021-07-30,NE,228800,0,311,2280,0,0
2020-05-14,DE,7515,7006,119,271,257,11
2021-05-30,DE,108846,101377,46,1661,1519,0
2021-05-27,CT,347137,317892,157,8230,6771,3
2021-10-23,IL,1680908,1680908,0,28414,25590,0
2020-10-04,WI,139928,132663,1926,1388,1377,5
2021-10-07,IN,979000,0,2198,15945,15435,32
2020-04-21,IN,12097,0,411,680,632,113
2021-07-03,MD,462535,0,96,9790,9573,2
2021-04-04,MT,105142,97760,105,1466,1466,1
2021-11-02,AL,830166,614349,621,16139,12530,12
2020-06-26,NH,5638,0,0,357,0,0
2020-07-08,IL,150554,149432,980,7309,7099,36
2020-10-08,AL,161756,143199,1563,4144,3581,17
2020-12-28,IN,496483,0,2477,7860,7559,43
